model,best_epoch,epochs_ran,val_loss,accuracy,macro_precision,macro_recall,macro_f1,elapsed_seconds
rnn,21,31,0.6422579267110483,0.8031208499335989,0.5490518709638055,0.4769695554876493,0.5010079006704967,45.12715244293213
lstm,22,32,0.5861547231911663,0.8207171314741036,0.5645105134099897,0.45079818452466014,0.4774243549377184,47.13044333457947
