epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.7567574653266644,1.514543485673142,0.5571049136786188,0.0871232222913088
2,1.3407460717114708,1.2324674814979077,0.6460823373173971,0.12941608864509901
3,1.1583061615393122,1.0796390497985273,0.6796148738379814,0.16024570460638982
4,1.0408335986191608,1.0159887526614733,0.703851261620186,0.2320933489764078
5,0.9494596682222546,0.8986453017390582,0.7324037184594954,0.2642584011632099
6,0.8802388589486415,0.8427909227956338,0.7413678618857902,0.28631578294148907
7,0.8236610308689524,0.7984786964507692,0.7632802124833997,0.32928470519343167
8,0.7810456582717663,0.7672045273609845,0.7656042496679947,0.3308110419684018
9,0.7458267265223574,0.7258891556684081,0.7778884462151394,0.34682464244262745
10,0.7058517402102388,0.7083111628593202,0.7815405046480743,0.3913559137203267
11,0.6699058763266252,0.6763530684657306,0.7901726427622842,0.38877886664153355
12,0.6393204797768898,0.6482067357496436,0.796480743691899,0.43278374637183054
13,0.6053941915552553,0.6408870759238285,0.800132802124834,0.4418705040631764
14,0.5790418548973011,0.6281031957502226,0.798804780876494,0.4341859001781796
15,0.5519152212193249,0.6139494305746173,0.8047808764940239,0.4438649752890613
16,0.5257141482835637,0.6268495279320999,0.8031208499335989,0.45555866860450916
17,0.5065591949508836,0.6046594581597672,0.8064409030544488,0.4586857064375082
18,0.4816697855590167,0.606220298237693,0.8077689243027888,0.46647492404954805
19,0.46359624203184036,0.5879520490904095,0.8150730411686588,0.459899207644661
20,0.4402433593140972,0.5919434522806727,0.8137450199203188,0.47927100761119973
21,0.4245019449503393,0.5866781643741475,0.8160690571049137,0.47152138399735194
22,0.39974170056866143,0.5861547231911663,0.8207171314741036,0.4774243549377184
23,0.37931470806832585,0.5963795792217432,0.8190571049136787,0.4933227766792389
24,0.36317869920256046,0.5960498797307768,0.8213811420982736,0.4790867187798822
25,0.3486533925040304,0.5954577480337693,0.8210491367861886,0.47580974473559706
26,0.3235414052132551,0.602563942491929,0.8190571049136787,0.512560844091455
27,0.31182128261910586,0.6133616689350184,0.8177290836653387,0.5013328242452042
28,0.29646401524949,0.610151394509066,0.8173970783532537,0.4925438291624425
29,0.28176756276710974,0.6195030738791305,0.8190571049136787,0.5127897380204606
30,0.26992946507719473,0.6353193283635148,0.8164010624169987,0.5130165425945397
31,0.2588609167027622,0.6537774742678659,0.8120849933598937,0.4950086514490132
32,0.2440918224167536,0.6553548699514483,0.8160690571049137,0.4904250145112575
