epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,2.1746701379564075,0.19026666667991216,1.902523790740967,0.3366,0.014000000000000002,60.78523397445679
2,1.9120466493606567,0.3303111111376021,1.591979863548279,0.4924,0.023000000000000003,8.843994617462158
3,1.695670572535197,0.44464444444444445,1.575446614265442,0.5274,0.032,8.774494171142578
4,1.5343912526024712,0.528755555539661,1.2580248847961426,0.6588,0.041,8.660037755966187
5,1.412697440592448,0.5924444444550409,1.1695905334472656,0.7176,0.05,8.779219388961792
6,1.3259614100350274,0.6327777778201633,1.1761232219696045,0.7014,0.04999067203154777,8.784302711486816
7,1.2566717663235134,0.6676000000529819,1.0838776174545288,0.746,0.0499626950870707,8.674609184265137
8,1.2002689270443387,0.6921111110899183,1.0763026777267457,0.7524,0.04991609004401324,8.702744960784912
9,1.1771953087064955,0.701511111079322,0.9977588033676148,0.7834,0.04985089168080509,8.663228988647461
10,1.1451791906992594,0.7159555555979411,0.9659804115295411,0.8018,0.04976714865090827,8.650891065597534
11,1.1275458129882812,0.7240444444550408,0.9532433515548706,0.8098,0.04966492344651006,8.672561883926392
12,1.1086284430185953,0.7318222222752041,0.9537595235824585,0.8086,0.04954429235188897,8.64734673500061
13,1.0912114870071412,0.742177777756585,0.9799570566177368,0.7842,0.04940534538648862,8.504286050796509
14,1.0780290289560954,0.7480888889418708,0.9715603965759277,0.8,0.049248186237741784,8.637878179550171
15,1.067799191708035,0.7517333333015442,0.9250526790618896,0.8184,0.04907293218369499,8.601613521575928
16,1.0552755232493083,0.7563777778201634,0.8881418810844421,0.8314,0.04887971400549121,8.600602626800537
17,1.0516818290498522,0.7594000000529819,0.9395947673797608,0.8114,0.0486686758897761,8.638689994812012
18,1.0472401614083184,0.7607333333333334,0.9080785881996155,0.8322,0.04843997532110052,8.852142572402954
19,1.0417941192626954,0.7634444444444445,0.9107116498947143,0.8256,0.04819378296439962,8.862348079681396
20,1.0316988294601441,0.7672888888888889,0.8934050317764283,0.8346,0.047930282537636336,8.80951476097107
21,1.0256905186335246,0.770844444433848,0.9165979200363159,0.8192,0.0476496706747041,8.736844062805176
22,1.0251093807432388,0.7684000000423855,0.9044182731628418,0.8324,0.047352156778691284,8.651865005493164
23,1.017471197297838,0.7754888888570998,0.8724856110572815,0.8426,0.047037962865616796,8.566150903701782
24,1.0168456154505412,0.7729777777989706,0.9052428005218506,0.8266,0.04670732339875335,8.590965270996094
25,1.0089309994167752,0.7774888888782925,0.864815926361084,0.8474,0.04636048511366222,8.705227136611938
26,1.0155232787662083,0.7742444444232517,0.9053976627349853,0.826,0.04599770683406992,8.589505672454834
27,1.0125241805606418,0.775866666677263,0.8729658294677735,0.844,0.04561925927872422,8.587586402893066
28,1.0039091901461283,0.7796000000423855,0.8833737677574157,0.8428,0.04522542485937369,8.69005274772644
29,1.0052330523173014,0.7802444444762335,0.9322113857269287,0.8134,0.04481649747002146,8.677056312561035
30,1.003382317437066,0.7802222222328186,0.8563765352249145,0.8534,0.04439278226761051,8.683815717697144
31,1.0037936871846518,0.7789333333439297,0.8527386109352112,0.8548,0.04395459544430408,8.715178966522217
32,1.0002103267881606,0.7821777777777777,0.886165185546875,0.8382,0.04350226399153131,8.681821584701538
33,0.9961749953163994,0.7828444444656372,0.8665971219062805,0.843,0.043036125455973906,8.613732099533081
34,0.9845850016170078,0.7891777778201633,0.8417447597503662,0.8552,0.04255652768767619,8.771812438964844
35,0.9838886552174886,0.7897777777989705,0.8656702568054199,0.8426,0.04206382858046637,8.917864322662354
36,0.9822719662136502,0.7899333333439297,0.9113563493728638,0.8264,0.0415583958048827,8.5764901638031
37,0.9798492611567179,0.7913333333333333,0.8754554168701172,0.8372,0.041040606533804036,8.61910367012024
38,0.9797836178673638,0.7902000000423856,0.8396137639999389,0.8548,0.04051084716098922,8.686555624008179
39,0.9725547742207845,0.7938000000317892,0.9052053405761719,0.8266,0.039969513012735575,8.68347454071045
40,0.9799155619939168,0.7909333333545261,0.8607139881134033,0.8476,0.039417008052871697,8.735323190689087
41,0.9675167096561855,0.7962000000317891,0.8503976779937744,0.8506,0.03885374458130438,8.75165605545044
42,0.9658452329211765,0.7976666666560703,0.8358655071258545,0.8568,0.038280142926345094,8.709746360778809
43,0.9623385698530409,0.7984222222540114,0.8383129766464233,0.86,0.037696631131045155,8.55520224571228
44,0.9620233617358738,0.8018666666348775,0.8319441548347473,0.8572,0.03710364463377402,8.720364570617676
45,0.9601794591691759,0.7988666666984559,0.8344755155563355,0.8634,0.036501625943278805,8.84363579750061
46,0.9579830006387499,0.8001555555237664,0.8503605861663819,0.851,0.03589102430846773,8.924798011779785
47,0.952841549258762,0.8037777777671814,0.8352425672531127,0.8596,0.035272295383163704,8.762869596481323
48,0.948587362798055,0.8068666666878594,0.8069799999237061,0.8724,0.034645900886078385,8.773414611816406
49,0.9478114178763496,0.8051777778095669,0.8609417686462403,0.851,0.03401230825626037,8.603517293930054
