epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,2.2575507985432943,0.1520000000026491,2.0911270484924316,0.2766,0.014000000000000002,62.49889421463013
2,2.071819819725884,0.26146666667196483,1.8014378017425536,0.4162,0.023000000000000003,10.320356130599976
3,1.9263628799226549,0.3388666666560703,1.6473518020629883,0.4736,0.032,6.649174213409424
4,1.8626933363172744,0.3743555555449592,1.6282438575744629,0.4874,0.041,6.566914319992065
5,1.8232155182520549,0.39235555555555557,1.5263062908172607,0.5422,0.05,6.520538806915283
6,1.8135671783447265,0.4020222222381168,1.6233694150924682,0.5142,0.04999067203154777,6.543870210647583
7,1.7780102350870768,0.4224444444285499,1.5394605125427245,0.5386,0.0499626950870707,6.530646800994873
8,1.7564777861277263,0.43113333334922793,1.5078942554473878,0.5454,0.04991609004401324,6.580077171325684
9,1.732170059691535,0.442422222243415,1.4696765338897706,0.5728,0.04985089168080509,6.7330567836761475
10,1.7222856956693862,0.4462666666931576,1.5321408317565919,0.5368,0.04976714865090827,6.53543496131897
11,1.7173890956242879,0.44906666666666667,1.4488360786437988,0.5826,0.04966492344651006,6.541843414306641
12,1.696392475657993,0.45691111112700566,1.452101583480835,0.5806,0.04954429235188897,6.573852777481079
13,1.6868761651992799,0.46564444446033904,1.4216606483459473,0.5958,0.04940534538648862,6.537276983261108
14,1.6774814909617106,0.47017777778307596,1.417898992919922,0.5944,0.049248186237741784,6.666635513305664
15,1.6694358352237277,0.47473333335982426,1.4521945051193237,0.5764,0.04907293218369499,6.52342963218689
16,1.6627248680750528,0.47848888887299434,1.4272790412902832,0.5914,0.04887971400549121,6.563240051269531
17,1.661408047527737,0.47582222224341497,1.4705926239013671,0.5662,0.0486686758897761,6.493274211883545
18,1.6520215939415825,0.4827333333439297,1.3921238441467285,0.6046,0.04843997532110052,6.486083984375
19,1.649889881430732,0.48615555556085377,1.3913429050445556,0.6166,0.04819378296439962,6.50786280632019
20,1.6392241750505236,0.4908666666984558,1.3963705375671387,0.6104,0.047930282537636336,6.426577568054199
21,1.6461892997741698,0.4873111111217075,1.4354171590805054,0.578,0.0476496706747041,6.511612176895142
22,1.64437207798428,0.4859333333598243,1.4042653408050536,0.6006,0.047352156778691284,6.483332395553589
23,1.6365391962687175,0.4894444444709354,1.3596214469909669,0.6242,0.047037962865616796,6.691143274307251
24,1.6243961578369142,0.4966222222328186,1.3594737382888793,0.6234,0.04670732339875335,6.449151039123535
25,1.6195932033750746,0.4976666667090522,1.3710111289978026,0.6144,0.04636048511366222,6.52448844909668
26,1.6228844301011827,0.49197777778837415,1.3769451431274413,0.6238,0.04599770683406992,6.450278043746948
27,1.6249124675326878,0.49631111115349663,1.344192335319519,0.6226,0.04561925927872422,6.489457607269287
28,1.6131488280190363,0.5021333333227369,1.3596607959747316,0.6274,0.04522542485937369,6.441629886627197
29,1.6161599598778618,0.500355555566152,1.454384787750244,0.5808,0.04481649747002146,6.553234815597534
30,1.6091440769407483,0.5043333333386315,1.329003949356079,0.6362,0.04439278226761051,6.530217885971069
31,1.6079663194444445,0.5029111111429002,1.346090576171875,0.6344,0.04395459544430408,6.549091100692749
32,1.6068336745156182,0.5038888889418708,1.3316975467681884,0.6376,0.04350226399153131,6.56046724319458
33,1.6043464461432564,0.5070222222487132,1.3417989166259765,0.633,0.043036125455973906,6.541666030883789
34,1.5932721474117704,0.5105333333333333,1.353366068649292,0.6286,0.04255652768767619,6.504338026046753
