epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,2.050858800294664,0.256244444460339,1.730572034072876,0.4214,0.014000000000000002,62.892194986343384
2,1.7757192541334363,0.40506666665077207,1.4917364751815796,0.5598,0.023000000000000003,11.223549604415894
3,1.5677354446411134,0.5178000000529819,1.6719730560302735,0.5254,0.032,11.441638708114624
4,1.4404984591378105,0.5810888888888889,1.386948286819458,0.6588,0.041,11.291695833206177
5,1.3306177491505942,0.6382444444232517,1.25536346950531,0.6978,0.05,11.3357994556427
6,1.2701635350969103,0.6646222222752042,1.1113232248306275,0.734,0.04999067203154777,11.375768899917603
7,1.198607505332099,0.6965555555873447,1.103691113471985,0.7548,0.0499626950870707,11.176197290420532
8,1.1550262903849284,0.7180000000211928,1.1203860612869263,0.7462,0.04991609004401324,11.283642053604126
9,1.1246839544084337,0.7316222222646077,1.1837161026000977,0.7114,0.04985089168080509,11.637524127960205
10,1.097706513235304,0.7415999999788072,1.0312595851898194,0.7736,0.04976714865090827,11.462685823440552
11,1.0853442223654852,0.7482888889312744,0.9819372924804688,0.7996,0.04966492344651006,11.359537839889526
12,1.0691242385864257,0.7538000000105963,0.9630113780975342,0.8074,0.04954429235188897,11.370473861694336
13,1.05727007461124,0.7604666666560703,0.9922460571289062,0.7802,0.04940534538648862,11.343677520751953
14,1.0442558007558187,0.762733333322737,1.0345049436569214,0.7672,0.049248186237741784,11.512550592422485
15,1.0317149108886718,0.7708666666454739,0.967943353843689,0.802,0.04907293218369499,11.386330842971802
16,1.025804929945204,0.774688888920678,0.9313426441192627,0.8224,0.04887971400549121,11.29343557357788
17,1.0203933852513631,0.7753999999894036,0.9625940912246704,0.7974,0.0486686758897761,11.39260220527649
18,1.0101501406775582,0.7809111111323038,0.9414522275924683,0.8138,0.04843997532110052,11.391197204589844
19,1.006076298904419,0.7818444444550409,0.9135696269989013,0.8322,0.04819378296439962,11.267508745193481
20,1.0005449518839518,0.783288888920678,0.8954598115921021,0.8382,0.047930282537636336,11.35770845413208
21,0.9899968439526028,0.7891111111005147,0.9312561109542846,0.8198,0.0476496706747041,11.297613382339478
22,0.9877473681026034,0.7915111110899183,0.9209444791793823,0.8228,0.047352156778691284,11.357152462005615
23,0.9818206857045492,0.7933555555555556,0.9195526763916015,0.8258,0.047037962865616796,11.708529472351074
24,0.9804888336605496,0.7930222222222222,0.9197976615905762,0.819,0.04670732339875335,11.269030809402466
25,0.9751550799687704,0.7953777777671814,0.8816748034477234,0.8382,0.04636048511366222,11.280848979949951
26,0.9774343617333306,0.7931777778201633,1.015031747817993,0.7924,0.04599770683406992,11.423035144805908
27,0.9754460546493531,0.7943777777777777,0.8929908489227295,0.8288,0.04561925927872422,11.2479248046875
28,0.9655290752834744,0.7997555556085375,0.8829860609054565,0.8426,0.04522542485937369,11.298216104507446
29,0.9602623003641765,0.8024444444550408,0.9052825587272644,0.8332,0.04481649747002146,11.404780626296997
30,0.9609507049136692,0.8019333333863152,0.8371136562347412,0.863,0.04439278226761051,11.093478441238403
31,0.9596407806396484,0.8012888888676961,0.8520687084197998,0.8492,0.04395459544430408,11.403573989868164
32,0.949077820777893,0.8071777777883742,0.868279026222229,0.846,0.04350226399153131,11.347251176834106
33,0.9472555934694078,0.8081555555343628,0.8358918368339538,0.8582,0.043036125455973906,11.308111190795898
34,0.9392846418380737,0.8106444444974263,0.8925460830688476,0.8312,0.04255652768767619,11.371631622314453
35,0.9396869185129801,0.8124666667090522,0.8772305639266967,0.843,0.04206382858046637,11.326546907424927
36,0.9377493805355496,0.8099111111323039,0.8386749341964722,0.858,0.0415583958048827,11.328825235366821
37,0.9325087308247884,0.8156000000529819,0.8764932725906373,0.8428,0.041040606533804036,11.4258553981781
38,0.9357082908524408,0.8112444444232517,0.8592388130187988,0.8472,0.04051084716098922,11.392246007919312
39,0.91980155866411,0.8206888888570998,0.9684322536468506,0.8178,0.039969513012735575,11.34882378578186
40,0.9241714516003927,0.8192000000423856,0.8513043869972229,0.853,0.039417008052871697,11.361908912658691
41,0.9202497113969591,0.8190888889312744,0.9087319288253785,0.831,0.03885374458130438,11.34783387184143
42,0.919920703930325,0.8199555555555555,0.8439356485366821,0.8596,0.038280142926345094,11.220320701599121
43,0.9133230853186713,0.8238444444550408,0.8349769992828369,0.8592,0.037696631131045155,11.316209077835083
44,0.9154923338360257,0.8228888888570998,0.8585045928001404,0.853,0.03710364463377402,11.234045267105103
45,0.906596090359158,0.8265999999682109,0.843102710723877,0.8546,0.036501625943278805,11.348127603530884
46,0.90102220014996,0.8267777777777777,0.8225022718429565,0.8662,0.03589102430846773,12.499232292175293
47,0.8998280027389526,0.8284222222540114,0.9013778425216675,0.8324,0.035272295383163704,11.735843658447266
48,0.8965074340396457,0.8306444444126553,0.83668111743927,0.8548,0.034645900886078385,11.384119987487793
49,0.8964824559847514,0.8316666666772631,0.8286433819770813,0.86,0.03401230825626037,11.413888931274414
50,0.8954644835260179,0.8312666666984558,0.8381298175811768,0.8584,0.03337199030427466,11.084412336349487
