epoch,train_loss,val_loss,val_accuracy,val_macro_f1
1,1.587049439341588,1.3009504649743615,0.6211819389110226,0.13523370117407935
2,1.147124866544397,1.0493946426893135,0.6912350597609562,0.2231629218695929
3,0.9931324708435212,0.9442688427756666,0.7217795484727756,0.2488403245045694
4,0.8924958315338315,0.8581545630774176,0.7393758300132802,0.3066998534224025
5,0.8265789117026113,0.8126231124043306,0.7566401062416999,0.3571034059677098
6,0.7874434519493206,0.7630195266222098,0.7712483399734396,0.39708694151763446
7,0.7560998198435771,0.7772806115834362,0.7602921646746348,0.3762194733890641
8,0.7179244245891484,0.758969991488919,0.7656042496679947,0.3747469001630697
9,0.7014230837605089,0.7205457921680385,0.7795484727755644,0.40299299024240687
10,0.6677195570307087,0.7197528322379427,0.7768924302788844,0.4153002196351775
11,0.649246553179388,0.6944223077965289,0.7808764940239044,0.40600281006610234
12,0.6263709907975542,0.6806193119184588,0.7851925630810093,0.4439228611434255
13,0.6017878372145766,0.671961042906342,0.7911686586985391,0.45293884847432214
14,0.5841416318256457,0.6695628437704616,0.796148738379814,0.4427623822275929
15,0.5575960750366596,0.6538304684171639,0.800464807436919,0.45396652958938877
16,0.5372146024379512,0.6631773819486458,0.7948207171314741,0.44521937971861864
17,0.5160017711079955,0.6612526622426462,0.798140770252324,0.4756691787654094
18,0.49538424357120353,0.6540448926834471,0.7944887118193891,0.46272969350763254
19,0.4734868351878825,0.6533552802416432,0.8007968127490039,0.48063795609897053
20,0.4552302840425071,0.656506345408213,0.795816733067729,0.46236271506446397
21,0.4343808301552115,0.6422579267110483,0.8031208499335989,0.5010079006704967
22,0.4123478130863303,0.6547219678066958,0.799800796812749,0.45914788109033683
23,0.39071333481018744,0.6590658752408477,0.797144754316069,0.478444757332932
24,0.38584583626725777,0.6799960240108242,0.7921646746347941,0.4684714966234633
25,0.3692497748756252,0.6700855039980307,0.7911686586985391,0.4487907760585639
26,0.34898375466425774,0.6499720631367657,0.8034528552456839,0.4854628430043142
27,0.33588472406605097,0.6593290902228944,0.797144754316069,0.4903208610371795
28,0.3088999349903828,0.6857128652680917,0.797476759628154,0.4595774301371293
29,0.2986409560923643,0.6662562380273979,0.8034528552456839,0.4966841222133937
30,0.2851652847114977,0.6815741668501065,0.799468791500664,0.46906838616132707
31,0.2726495803317771,0.6999937633119256,0.799136786188579,0.47523405074581226
